Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Décollétè D6730 Vernice Nero,D6730,donna,decollete,decollete,Nero,99.9,99.9,0.0,Duelune
Décollétè D6730 Nero,D6730,donna,decollete,decollete,Nero,99.9,99.9,0.0,Duelune
Décollétè D6730 Suede Porpora,D6730,donna,decollete,decollete,Porpora,99.9,99.9,0.0,Duelune
Décollétè con cinturino D5719 Nabuck Nero,con,donna,decollete,decollete,Nero,89.9,89.9,0.0,Duelune
Décollétè con cinturino D5719 Vernice Nero,con,donna,decollete,decollete,Nero,89.9,89.9,0.0,Duelune
Décollétè con cinturino D5719 Cuoio,con,donna,decollete,decollete,Cuoio,89.9,89.9,0.0,Duelune
Décollétè A3650F Nero,A3650F,donna,decollete,decollete,Nero,79.9,79.9,0.0,Duelune
Décolletè A3673 Nero,A3673,donna,decollete,decollete,Nero,89.9,89.9,0.0,Duelune
Décollétè A3650L Nero,A3650L,donna,decollete,decollete,Nero,79.9,79.9,0.0,Duelune
Décollétè A3650L Nude,A3650L,donna,decollete,decollete,Nude,79.9,79.9,0.0,Duelune
Décollétè A3650L Camoscio Rosso,A3650L,donna,decollete,decollete,Rosso,79.9,79.9,0.0,Duelune
Décollétè A3650L Laminato Oro,A3650L,donna,decollete,decollete,Oro,79.9,79.9,0.0,Duelune
Décollétè A3673 Laminato Rame,A3673,donna,decollete,decollete,Rame,89.9,89.9,0.0,Duelune
Décolletè A3649 Nero,A3649,donna,decollete,decollete,Nero,47.9,59.9,20.0,Duelune
Décolletè A3649 Nude,A3649,donna,decollete,decollete,Nude,47.9,59.9,20.0,Duelune
Décolletè A3649 Blu,A3649,donna,decollete,decollete,Blu,47.9,59.9,20.0,Duelune
Décolletè A3649 Rosso,A3649,donna,decollete,decollete,Rosso,47.9,59.9,20.0,Duelune
Décolletè A3649 Laminato Argento,A3649,donna,decollete,decollete,Argento,47.9,59.9,20.0,Duelune
Décollète A3681 Nude,A3681,donna,decollete,decollete,Nude,79.9,79.9,0.0,Duelune
Sandalo con tacco A5737 Blu,con,donna,decollete,sandalo,Blu,94.9,94.9,0.0,Duelune
Sandalo con tacco A5737 Beige,con,donna,decollete,sandalo,Beige,94.9,94.9,0.0,Duelune
Sandalo con tacco A5737 Nero,con,donna,decollete,sandalo,Nero,94.9,94.9,0.0,Duelune
Sandalo con tacco A5737 Laminato Platino,con,donna,decollete,sandalo,Platino,94.9,94.9,0.0,Duelune
Slingback con tacco A3683 Nero,con,donna,decollete,slingback,Nero,94.9,94.9,0.0,Duelune
Sandalo con tacco A5736 Cuoio,con,donna,decollete,sandalo,Cuoio,94.9,94.9,0.0,Duelune
Sandalo con tacco A5736 Salvia,con,donna,decollete,sandalo,Salvia,94.9,94.9,0.0,Duelune
Sandalo con tacco A5736 Nero,con,donna,decollete,sandalo,Nero,94.9,94.9,0.0,Duelune
Slingback con tacco A3683 Argento,con,donna,decollete,slingback,Argento,94.9,94.9,0.0,Duelune
Slingback con tacco A3683 Panna,con,donna,decollete,slingback,Panna,94.9,94.9,0.0,Duelune
Sandalo con tacco A3644 Nero,con,donna,decollete,sandalo,Nero,79.9,79.9,0.0,Duelune
Sandalo con tacco A3644 Cuoio,con,donna,decollete,sandalo,Cuoio,79.9,79.9,0.0,Duelune
Sandalo con tacco A3644 Blu,con,donna,decollete,sandalo,Blu,79.9,79.9,0.0,Duelune
Sandalo con tacco A3644 Laminato Rame,con,donna,decollete,sandalo,Rame,79.9,79.9,0.0,Duelune
Sandalo con tacco A3644 Rosa,con,donna,decollete,sandalo,Rosa,79.9,79.9,0.0,Duelune
Sandalo con tacco A3644 Rosso,con,donna,decollete,sandalo,Rosso,79.9,79.9,0.0,Duelune
Sandalo con tacco A3644 Laminato Argento,con,donna,decollete,sandalo,Argento,79.9,79.9,0.0,Duelune
Sandalo con tacco A6729 Nude,con,donna,decollete,sandalo,Nude,99.9,99.9,0.0,Duelune
Sandalo con tacco A6729 Rosa,con,donna,decollete,sandalo,Rosa,99.9,99.9,0.0,Duelune
Sandalo con tacco A6729 Nero,con,donna,decollete,sandalo,Nero,99.9,99.9,0.0,Duelune
Sandalo con tacco A6729 Giallo,con,donna,decollete,sandalo,Giallo,99.9,99.9,0.0,Duelune
Sandalo con tacco A3680 Nero,con,donna,decollete,sandalo,Nero,79.9,99.9,20.0,Duelune
Sandalo con tacco A3680 Cipria,con,donna,decollete,sandalo,Cipria,79.9,99.9,20.0,Duelune
Sandalo con tacco A6726 Suede Arancio,con,donna,decollete,sandalo,Arancio,99.9,99.9,0.0,Duelune
Sandalo con tacco A6726 Suede Fuxia,con,donna,decollete,sandalo,Fuxia,99.9,99.9,0.0,Duelune
Sandalo con tacco A6726 Nero,con,donna,decollete,sandalo,Nero,99.9,99.9,0.0,Duelune
Sandalo con tacco A6726 Platino,con,donna,decollete,sandalo,Platino,99.9,99.9,0.0,Duelune
Sandalo con tacco A6725 Rame,con,donna,decollete,sandalo,Rame,99.9,99.9,0.0,Duelune
Sandalo con tacco A6725 Argento,con,donna,decollete,sandalo,Argento,99.9,99.9,0.0,Duelune
Sandalo con tacco A6710 Giallo,con,donna,decollete,sandalo,Giallo,99.9,99.9,0.0,Duelune
Sandalo con tacco A6711 Fuxia,con,donna,decollete,sandalo,Fuxia,99.9,99.9,0.0,Duelune
Sandalo con tacco A6712 Nero Bianco,con,donna,decollete,sandalo,Bianco,99.9,99.9,0.0,Duelune
Sandalo con tacco A6712 Arancio,con,donna,decollete,sandalo,Arancio,99.9,99.9,0.0,Duelune
Sandalo con tacco A6713 Argento,con,donna,decollete,sandalo,Argento,99.9,99.9,0.0,Duelune
Sandalo con tacco A6713 Pitone Oro,con,donna,decollete,sandalo,Oro,99.9,99.9,0.0,Duelune
Décolletè A3672 Nero,A3672,donna,decollete,decollete,Nero,44.95,89.9,50.0,Duelune
Décollétè A3671 Nero,A3671,donna,decollete,decollete,Nero,42.45,84.9,50.0,Duelune
Décollétè D5724 Camoscio Nero,D5724,donna,decollete,decollete,Nero,50.9,84.9,40.0,Duelune
Décollétè D5724 Camoscio Grigio,D5724,donna,decollete,decollete,Grigio,50.9,84.9,40.0,Duelune
Décollétè D5724 Camoscio Cuoio,D5724,donna,decollete,decollete,Cuoio,50.9,84.9,40.0,Duelune
Décollétè D5727 Bordeaux,D5727,donna,decollete,decollete,Bordeaux,37.45,74.9,50.0,Duelune
Décollétè D5727 Cuoio,D5727,donna,decollete,decollete,Cuoio,37.45,74.9,50.0,Duelune
Décollétè D5727 Nero,D5727,donna,decollete,decollete,Nero,37.45,74.9,50.0,Duelune
Décollétè D3666 Camoscio Rosso,D3666,donna,decollete,decollete,Rosso,44.9,74.9,40.0,Duelune
Décollétè D3669 Nero,D3669,donna,decollete,decollete,Nero,39.95,79.9,50.0,Duelune
Décollétè D3642 Nero,D3642,donna,decollete,decollete,Nero,27.95,69.9,60.0,Duelune
Décollétè D3645 Blu,D3645,donna,decollete,decollete,Blu,35.9,59.9,40.0,Duelune
Décollétè D3645 Nero,D3645,donna,decollete,decollete,Nero,35.9,59.9,40.0,Duelune
Décollétè D403 Suede Nero,D403,donna,decollete,decollete,Nero,33.95,84.9,60.0,Duelune
Décollétè D403 Suede Rosso,D403,donna,decollete,decollete,Rosso,33.95,84.9,60.0,Duelune
Stivale Texano D817 Nero,Texano,donna,stivali,stivale,Nero,139.9,139.9,0.0,Duelune
Stivaletto con tacco D83 Nero,con,donna,stivali,stivaletto,Nero,111.9,139.9,20.0,Duelune
Stivaletto Anfibio D1027 Bordeaux,Anfibio,donna,stivali,stivaletto,Bordeaux,111.9,139.9,20.0,Duelune
Stivale cavallerizzo D2352 Nero,cavallerizzo,donna,stivali,stivale,Nero,124.9,124.9,0.0,Duelune
Stivale cavallerizzo D2352 Testa di Moro,cavallerizzo,donna,stivali,stivale,Moro,124.9,124.9,0.0,Duelune
Stivale cavallerizzo D2352 Cuoio,cavallerizzo,donna,stivali,stivale,Cuoio,124.9,124.9,0.0,Duelune
Stivale Cavallerizzo D34L Nero,Cavallerizzo,donna,stivali,stivale,Nero,83.9,104.9,20.0,Duelune
Stivale con tacco A6731 Nero,con,donna,stivali,stivale,Nero,149.9,149.9,0.0,Duelune
Stivale con tacco A6731 Cuoio,con,donna,stivali,stivale,Cuoio,149.9,149.9,0.0,Duelune
Stivale con tacco D5735 Nero,con,donna,stivali,stivale,Nero,83.9,119.9,30.0,Duelune
Stivale con tacco D8086 Nero,con,donna,stivali,stivale,Nero,103.9,129.9,20.0,Duelune
Stivale Bikers D1025 Nero,Bikers,donna,stivali,stivale,Nero,111.9,139.9,20.0,Duelune
Stivale D8025 Verde,D8025,donna,stivali,stivale,Verde,100.8,144.9,30.0,Duelune
Stivale D8025 Nero,D8025,donna,stivali,stivale,Nero,100.8,144.9,30.0,Duelune
Stivale D296 Nero,D296,donna,stivali,stivale,Nero,97.9,139.9,30.0,Duelune
Stivale D296 Nabuk Ruggine,D296,donna,stivali,stivale,Ruggine,97.9,139.9,30.0,Duelune
Stivale D7844EL Bordeaux,D7844EL,donna,stivali,stivale,Bordeaux,94.9,134.9,30.0,Duelune
Stivale D7844EL Nero,D7844EL,donna,stivali,stivale,Nero,94.9,134.9,30.0,Duelune
Stivale Texano D7381 Nero,Texano,donna,stivali,stivale,Nero,76.9,109.9,30.0,Duelune
Stivale Texano D7381 Cuoio,Texano,donna,stivali,stivale,Cuoio,76.9,109.9,30.0,Duelune
Stivale Texano D7381 Testa di Moro,Texano,donna,stivali,stivale,Moro,76.9,109.9,30.0,Duelune
Stivale Texano D7382 Nero,Texano,donna,stivali,stivale,Nero,76.9,109.9,30.0,Duelune
Stivale Overknee D333 Suede Testa di moro,Overknee,donna,stivali,stivale,moro,87.9,109.9,20.0,Duelune
