Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Décolleté donna con cinturino in camoscio bordo x5214w,x5214w,donna,decollete,decollete,bordo,101.5,145.0,30.0,Melluso
Décolleté donna in camoscio acero x5216w,x5216w,donna,decollete,decollete,acero,108.5,155.0,30.0,Melluso
Décolleté donna in camoscio marrone x5216w,x5216w,donna,decollete,decollete,marrone,108.5,155.0,30.0,Melluso
Décolleté donna in pelle nero x5216w,x5216w,donna,decollete,decollete,nero,108.5,155.0,30.0,Melluso
Décolleté donna in camoscio bordo x5216w,x5216w,donna,decollete,decollete,bordo,108.5,155.0,30.0,Melluso
Décolleté donna in camoscio nero x5318w,x5318w,donna,decollete,decollete,nero,108.5,155.0,30.0,Melluso
Décolleté donna in camoscio blu navy x5318w,x5318w,donna,decollete,decollete,navy,108.5,155.0,30.0,Melluso
Décolleté donna in pelle marrone x5318w,x5318w,donna,decollete,decollete,marrone,108.5,155.0,30.0,Melluso
Mocassino donna in camoscio nero x5320w,x5320w,donna,decollete,mocassino,nero,108.5,155.0,30.0,Melluso
Mocassino donna in camoscio bordo x5320w,x5320w,donna,decollete,mocassino,bordo,108.5,155.0,30.0,Melluso
Mocassino donna in camoscio grigio x5320w,x5320w,donna,decollete,mocassino,grigio,108.5,155.0,30.0,Melluso
Mocassino donna in pelle nero x5320w,x5320w,donna,decollete,mocassino,nero,108.5,155.0,30.0,Melluso
Décolleté donna in camoscio blu abyss d110z,d110z,donna,decollete,decollete,abyss,129.9,129.9,0.0,Melluso
Décolleté donna in camoscio fondotinta d110z,d110z,donna,decollete,decollete,fondotinta,129.9,129.9,0.0,Melluso
Décolleté donna in pelle abyss d110z,d110z,donna,decollete,decollete,abyss,129.9,129.9,0.0,Melluso
Décolleté donna in camoscio blu notte d116z,d116z,donna,decollete,decollete,notte,90.93,129.9,30.0,Melluso
Décolleté donna  in pelle nude d160zv,d160zv,donna,decollete,decollete,nude,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle blu abyss d160zv,d160zv,donna,decollete,decollete,abyss,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle platino d160w,d160w,donna,decollete,decollete,platino,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle nude d160w,d160w,donna,decollete,decollete,nude,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle blu abyss d160zv,d160zv,donna,decollete,decollete,abyss,149.9,149.9,0.0,Melluso
Décolleté donna  in pelle lilla d160zv,d160zv,donna,decollete,decollete,lilla,149.9,149.9,0.0,Melluso
Décolleté donna slingback in tessuto rosa phard d165z,d165z,donna,decollete,decollete,phard,149.9,149.9,0.0,Melluso
Décolleté donna slingback in pelle wash platino d165z,d165z,donna,decollete,decollete,platino,149.9,149.9,0.0,Melluso
Décolleté donna slingback in tessuto platino d165z,d165z,donna,decollete,decollete,platino,149.9,149.9,0.0,Melluso
Décolleté donna slingback in tessuto argento d165z,d165z,donna,decollete,decollete,argento,149.9,149.9,0.0,Melluso
