Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Décollétè A3650L Camoscio Rosso,A3650L,donna,decollete,Décollétè,Rosso,79.9,79.9
Décollétè A3650L Laminato Oro,A3650L,donna,decollete,Décollétè,Oro,79.9,79.9
Décollétè A3673 Laminato Rame,A3673,donna,decollete,Décollétè,Rame,89.9,89.9
Décolletè A3649 Nero,A3649,donna,decollete,Décolletè,Nero,47.9,59.9
Décolletè A3649 Nude,A3649,donna,decollete,Décolletè,Nude,47.9,59.9
Décolletè A3649 Blu,A3649,donna,decollete,Décolletè,Blu,47.9,59.9
Décolletè A3649 Rosso,A3649,donna,decollete,Décolletè,Rosso,47.9,59.9
Décolletè A3649 Laminato Argento,A3649,donna,decollete,Décolletè,Argento,47.9,59.9
Décollète A3681 Nude,A3681,donna,decollete,Décollète,Nude,79.9,79.9
Sandalo con tacco A5737 Blu,con,donna,decollete,Sandalo,Blu,94.9,94.9
Sandalo con tacco A5737 Beige,con,donna,decollete,Sandalo,Beige,94.9,94.9
Sandalo con tacco A5737 Nero,con,donna,decollete,Sandalo,Nero,94.9,94.9
Sandalo con tacco A5737 Laminato Platino,con,donna,decollete,Sandalo,Platino,94.9,94.9
Slingback con tacco A3683 Nero,con,donna,decollete,Slingback,Nero,94.9,94.9
Sandalo con tacco A5736 Cuoio,con,donna,decollete,Sandalo,Cuoio,94.9,94.9
Sandalo con tacco A5736 Salvia,con,donna,decollete,Sandalo,Salvia,94.9,94.9
Sandalo con tacco A5736 Nero,con,donna,decollete,Sandalo,Nero,94.9,94.9
Slingback con tacco A3683 Argento,con,donna,decollete,Slingback,Argento,94.9,94.9
Slingback con tacco A3683 Panna,con,donna,decollete,Slingback,Panna,94.9,94.9
Sandalo con tacco A3644 Nero,con,donna,decollete,Sandalo,Nero,79.9,79.9
Sandalo con tacco A3644 Cuoio,con,donna,decollete,Sandalo,Cuoio,79.9,79.9
